Experiment,Greedy Tour (units),Greedy Time (s),OR-Tools Tour (units),OR-Tools Time (s),GA Tour (units),GA Time (s)
1,44.48424037935511,0.00025391578674316406,43.330822,0.004250049591064453,44.59340503873573,2.0066800117492676
2,40.42684319101093,0.0002205371856689453,40.423023,0.0035851001739501953,40.423028011016946,1.960127830505371
3,47.19039499534311,0.00021529197692871094,47.190391000000005,0.0035295486450195312,47.19039499534311,1.8806853294372559
4,41.17722607034533,0.00022649765014648438,41.17722,0.00354766845703125,43.485547136623936,1.8761920928955078
5,38.55372003956057,0.00021648406982421875,38.241455,0.003997087478637695,37.619012016649286,1.860579252243042
6,50.46893330588729,0.00037980079650878906,45.649788,0.006117343902587891,45.64979177639484,2.2106807231903076
7,48.519352844613735,0.0004189014434814453,45.199959,0.006342172622680664,45.19996426858911,2.777003288269043
8,44.060116111438376,0.00020384788513183594,43.401296,0.0048334598541259766,43.401300196475816,2.4451136589050293
9,37.70150620641429,0.0002143383026123047,36.635879,0.003851175308227539,36.635882187685766,2.069728374481201
10,47.17970136365348,0.000217437744140625,47.17969600000001,0.003757476806640625,48.57379009024501,1.9470446109771729
11,41.827964215347826,0.00021266937255859375,41.407835,0.004694461822509766,41.55146006843528,1.9214613437652588
12,36.18054757914463,0.0002067089080810547,36.180541,0.004313468933105469,37.733046770206556,1.8332393169403076
13,42.55428322105572,0.0004496574401855469,42.554279,0.005229949951171875,42.55428322105572,2.0457983016967773
14,42.24320674088292,0.000213623046875,39.965618,0.0038497447967529297,43.176153869901896,1.85817551612854
15,46.60304346408144,0.00021195411682128906,46.60303699999999,0.004683256149291992,47.21482888438963,2.1642539501190186
16,47.49549222552994,0.000232696533203125,47.495487000000004,0.004114866256713867,49.05077497224482,1.9543547630310059
17,47.40465826821617,0.0002219676971435547,43.386885,0.004378318786621094,44.10473194823874,1.904383659362793
18,46.630327251179246,0.00020384788513183594,46.630321,0.003784656524658203,46.630327251179246,1.9677653312683105
19,46.250745335578245,0.0002639293670654297,45.937762,0.00572657585144043,45.937766005135146,1.9810941219329834
20,42.56870815466348,0.00043272972106933594,41.184533,0.005015134811401367,41.02148559679278,2.592210054397583
21,49.38370934212649,0.0003612041473388672,46.949557999999996,0.005588531494140625,47.47476803668252,2.5641629695892334
22,38.89961806794897,0.0002167224884033203,39.15763,0.0043179988861083984,39.15763555055162,2.687817335128784
23,44.051402224764416,0.0005674362182617188,43.43993,0.0041277408599853516,45.566877866806905,2.647632122039795
24,50.30634949768373,0.0002570152282714844,48.692307,0.0043087005615234375,50.18200747097521,2.027449369430542
25,44.29484865356372,0.0002148151397705078,42.326243999999996,0.0037539005279541016,42.32624907085557,2.032355546951294
26,45.63057943584127,0.00020360946655273438,44.528127999999995,0.0037238597869873047,45.63057943584127,1.9462461471557617
27,41.723205270854315,0.00021266937255859375,41.627629999999996,0.0039691925048828125,43.20319089323053,1.9569342136383057
28,47.65840608417811,0.00020956993103027344,42.069873,0.004942417144775391,42.06987870728547,2.126237630844116
29,45.29039318434022,0.0002048015594482422,44.51605,0.003787994384765625,45.429586936169486,2.175959587097168
30,45.01627043172943,0.00021910667419433594,41.884707,0.004655361175537109,41.88471334823961,2.2212462425231934
